State,Campaign name,Status,Type,Targeting,Portfolio name,Campaign bid strategy,Campaign budget amount (converted),Campaign budget amount,Impressions,Top-of-search impression share,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Purchases,Sales (converted),Sales,ACOS,ROAS,Purchases (new to brand)
ENABLED,B0CYK4G2Y8 - Facial Cleanser - SP ASIN - Exact - Related Dermaglos Products,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Cleanser,Dynamic bidding (down only),$1.00,$1.00,11534,<5%,43,0.0037,$57.49,$57.49,$1.34,$1.34,7,$115.03,$115.03,0.4998,2.0008697164724296,0
ENABLED,B0CYKDSDJX - Hyaluronic Serum - SP ASIN - Exact - Related Dermaglos Products,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Hyaluronic Serum,Dynamic bidding (down only),$10.00,$10.00,10695,<5%,41,0.0038,$56.49,$56.49,$1.38,$1.38,4,$49.12,$49.12,1.1500,0.8695344308727208,0
ENABLED,B0CYLDSQ5L - Body Cream - SP ASIN - Exact - Related Dermaglos Products,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Dynamic bidding (down only),$5.00,$5.00,27996,<5%,182,0.0065,$251.10,$251.10,$1.38,$1.38,28,$500.18,$500.18,0.5020,1.9919553962564716,0
ENABLED,B0CYK4G2Y8 - Facial Cleanser - SB - CPC - Broad - Dermaglos Defensive,CAMPAIGN_STATUS_ENABLED,SB2,MANUAL,Facial Cleanser,—,$12.00,$12.00,1898,<5%,38,0.0200,$67.86,$67.86,$1.79,$1.79,1,$9.89,$9.89,6.8615,0.1457412319481285,1
ENABLED,B0CYLDSQ5L - Body Cream - SB - CPC - Broad - Dermaglos Defensive,CAMPAIGN_STATUS_ENABLED,SB2,MANUAL,Body Cream,—,$12.00,$12.00,413,<5%,4,0.0097,$5.46,$5.46,$1.36,$1.36,0,$0.00,$0.00,0,0,0
ENABLED,B0CYKDSDJX - Hyaluronic Serum - SB - CPC - Broad - Dermaglos Defensive,CAMPAIGN_STATUS_ENABLED,SB2,MANUAL,Hyaluronic Serum,—,$12.00,$12.00,493,15.79%,10,0.0203,$9.06,$9.06,$0.91,$0.91,0,$0.00,$0.00,0,0,0
ENABLED,B0CYLMJJJC - Dermatological Cream - SP KW - Broad - Dermaglos,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological Cream,Dynamic bidding (down only),$12.00,$12.00,7716,<5%,54,0.0070,$44.78,$44.78,$0.83,$0.83,7,$76.93,$76.93,0.5821,1.7179544439481909,0
ENABLED,B0F6VZMF2V - Facial Skincare Set - SP KW - Broad - Dermaglos,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Skincare Set,Dynamic bidding (down only),$10.00,$10.00,11137,<5%,85,0.0076,$114.90,$114.90,$1.35,$1.35,9,$217.43,$217.43,0.5284,1.8923411662315048,0
ENABLED,B0F548KTXD - Body Lotion 2Pack - SD - VCPM - Dermaglos Products,CAMPAIGN_STATUS_ENABLED,SD,MANUAL,Body Lotion 2Pack,Dynamic bidding (up and down),$25.00,$25.00,14189,0,11,0.0008,$55.25,$55.25,$5.02,$5.02,7,$131.06,$131.06,0.4216,2.3721550338881885,7
ENABLED,B0F6VZMF2V - Facial Skincare Set - SB - CPC - Broad - Dermaglos Defensive,CAMPAIGN_STATUS_ENABLED,SB2,MANUAL,Facial Skincare Set,—,$10.00,$10.00,5154,<5%,42,0.0081,$66.00,$66.00,$1.57,$1.57,6,$100.16,$100.16,0.6589,1.5175757575757578,3
ENABLED,B0F6VZMF2V - Facial Skincare Set - SD - VCPM - Dermaglos Products,CAMPAIGN_STATUS_ENABLED,SD,MANUAL,Facial Skincare Set,Dynamic bidding (up and down),$12.00,$12.00,3190,0,2,0.0006,$10.88,$10.88,$5.44,$5.44,0,$0.00,$0.00,0,0,0
